tipo_registro,entidad,nit_entidad,departamento_entidad,id_proceso,referencia,nombre_proceso,descripcion,fecha_publicacion,precio_base,modalidad,adjudicado,proveedor,nit_proveedor,departamento_proveedor,valor_adjudicado,url_secop,noticias_entidad,nivel_menciones,es_proceso_candidato_s05,es_entidad_candidata_s05
historico_adjudicado,INSTITUTO DEPARTAMENTAL DE SALUD DE NARIÑO,891280001,Nariño,CO1.REQ.2944287,SASP0222 (Presentación de oferta),SUMINISTRO DE REACTIVOS E INSUMOS PARA LSP (Presentación de oferta),No definido,,1481861519,Selección abreviada subasta inversa,Si,NVP LAB,900730558,Distrito Capital de Bogotá,24990000.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2872919,,,False,False
historico_adjudicado,SUPERINTENDENCIA FINANCIERA DE COLOMBIA**,890999057,Distrito Capital de Bogotá,CO1.REQ.4590917,SF.PSA-013-2023 (Presentación de oferta),Suscripción productos Adobe (Presentación de oferta),Suscripción del derecho al uso de los productos de la Suite Adobe Creative Cloud,,122589260,Selección abreviada subasta inversa,Si,GOLD SYS LTDA,830038304,No Definido,64164530.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4499363,,,False,False
historico_adjudicado,SENA REGIONAL ANTIOQUIA Grupo Administrativo CTAPT,899999034,Antioquia,CO1.REQ.4803040,MC-ANT-CTAPT-015-2023,COMPRA DE IMPLEMENTOS DEPORTIVOS; RECREATIVOS Y DE LIDERAZGO PARA LAS ACTIVIDADES DEL PLAN DE ACCION DE BIENESTAR AL APRENDIZ DEL COMPLEJO TECNOLOGICO AGROINDUSTRIAL; PECUARIO Y TURISTICO DEL SENA,"COMPRA DE IMPLEMENTOS DEPORTIVOS, RECREATIVOS Y DE LIDERAZGO PARA LAS ACTIVIDADES DEL PLAN DE ACCION DE BIENESTAR AL APRENDIZ DEL COMPLEJO TECNOLOGICO AGROINDUSTRIAL, 
PECUARIO Y TURISTICO DEL SENA",,42999000,Mínima cuantía,Si,ACIERTO EMPRESARIAL 7 S.A.S.,900813561,Distrito Capital de Bogotá,34400000.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4710580,,,False,False
historico_adjudicado,SUBRED INTEGRADA DE SERVICIO DE SALUD CENTRO ORIENTE E.S.E 1,900959051,Distrito Capital de Bogotá,CO1.REQ.1829097,IC-012-2021,CONTRATAR EL SUMINISTRO DE LOS DISPOSITIVOS MÉDICOS QUIRÚRGICOS HOSPITALARIOS; NECESARIOS PARA LA PRESTACIÓN DE LOS SERVICIOS A LOS USUARIOS DE LAS DIFERENTES UNIDADES DE LA SUBRED INTEGRADA DE SERVIC,"CONTRATAR EL SUMINISTRO DE LOS DISPOSITIVOS MÉDICOS QUIRÚRGICOS HOSPITALARIOS, NECESARIOS PARA LA PRESTACIÓN DE LOS SERVICIOS A LOS USUARIOS DE LAS DIFERENTES UNIDADES DE LA SUBRED INTEGRADA DE SERVICIOS DE SALUD CENTRO ORIENTE E.S.E.",,1375587852,Contratación régimen especial (con ofertas),Si,LIFESUMIMED SAS,900240177,Atlántico,10908370.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1775559,,,False,False
historico_adjudicado,DEPARTAMENTO DE POLICIA SUCRE,800141100,Sucre,CO1.REQ.9727214,PN DESUC CD 001 2026,PRESTACIÓN DE SERVICIO DE MENSAJERÍA Y CORRESPONDENCIA CERTIFICADA,"PRESTACION DE SERVICIO DE MENSAJERÍA Y CORRESPONDENCIA CERTIFICADA, ENVIO DE MERCANCIA TERRESTRE Y AEREA, PAQUETERIA E INCLUYE EMBALAJE, RECOLECCION DE ENCOMIENDAS A NIVEL NACIONAL PARA EL DEPARTAMENTO DE POLICIA SUCRE Y UNIDAD PRESTADORA DE SALUD SUCRE (UPRES)",,4450000,Contratación Directa (con ofertas),Si,SERVICIOS POSTALES NACIONALES S.A.S,900062917,Distrito Capital de Bogotá,4450000.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9575029,,,False,False
historico_adjudicado,MINVIVIENDA,900463725,No Definido,CO1.REQ.8184262,MVCT-SAMC-001-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),Contratar con una o varias compañías de seguros legalmente autorizadas para funcionar en el país; el programa de seguros requerido para la adecuada protección de los bienes e Intereses patrimoniales d,"Contratar con una o varias compañías de seguros legalmente autorizadas para funcionar en el país, el programa de seguros requerido para la adecuada protección de los bienes e Intereses patrimoniales del MINISTERIO DE VIVIENDA, CIUDAD Y TERRITORIO, así como de aquellos por los que sea o fuere legalmente responsable o le corresponda asegurar en virtud de disposición legal o contractual.",,1387475120,Selección Abreviada de Menor Cuantía,Si,Aseguradora Solidaria de Colombia Entidad Cooperativa.,860524654,Distrito Capital de Bogotá,116123114.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8059414,,,False,False
historico_adjudicado,CORPOCALDAS.,890803005,Caldas,CO1.REQ.8896797,CD-187-2025,Aunar esfuerzos técnicos; administrativos y financieros para la construcción de obras de reducción del riesgo (obras de ingeniería y Soluciones Basadas en la Naturaleza- SbN); en sitios críticos del,"Aunar esfuerzos técnicos, administrativos y financieros para la construcción de obras de reducción del riesgo (obras de ingeniería y Soluciones Basadas en la Naturaleza SbN), en sitios críticos del municipio de San José por el sistema de monto agotable.",,395705848,Contratación Directa (con ofertas),Si,MUNICIPIO DE SAN JOSE.,810001998,Caldas,395705848.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8763549,,,False,False
historico_adjudicado,GOBIERNO DEPARTAMENTAL,8001136727,Tolima,CO1.REQ.2520472,MIN-2021-277,COMPRAVENTA,COMPRAVENTA DE CARPAS TIPO HANGAR PARA DOTAR A LOS GRUPOS OPERATIVOS QUE INTEGRAN LOS CONSEJOS MUNICIPALES DE LA GESTION DEL RIESGO DE DESASTRES DEL AREA DE INFLUENCIA VOLCANICA; PARA LA RESPUESTA OPORTUNA Y EFICAZ FRENTE A EVENTOS EMERGENTES QUE SE PRESENTEN EN EL DEPARTAMENTO,,80325000,Mínima cuantía,Si,CARPAS Y CUBRIMIENTOS SOLAIRE S.A.S,9014134899,Distrito Capital de Bogotá,59976000.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2456470,4,baja,False,True
historico_adjudicado,DEPARTAMENTO DEL META,8920001488,Meta,CO1.REQ.9184540,SSM-CD-2271-2025,DESARROLLO DE LAS ACTIVIDADES DEL PLAN DE INTERVENCIONES COLECTIVAS PIC EN EL MUNICIPIO DE PUERTO LOPEZ MEDIANTE LAS ESTRATEGIAS DE ATENCION PRIMARIA EN SALUD APS Y LA ESTRATEGIA DE CENTROS DE ESCUCHA,DESARROLLO DE LAS ACTIVIDADES DEL PLAN DE INTERVENCIONES COLECTIVAS PIC EN EL MUNICIPIO DE PUERTO LOPEZ MEDIANTE LAS ESTRATEGIAS DE ATENCION PRIMARIA EN SALUD APS Y LA ESTRATEGIA DE CENTROS DE ESCUCHA COMUNITARIOS CON EL OBJETIVO DE GARANTIZAR LA CONTINUIDAD DEL PIC DE ACUERDO A LA NORMATIVIDAD VIGENTE FUTURA ORDINARIA APROBADA EN LA ORDENANZA No.1304 DEL 26 DE SEPTIEMBRE DE 2025,,70742133,Contratación Directa (con ofertas),Si,HOSPITAL LOCAL DE PUERTO LOPEZ ESE**,800037979,Meta,70742133.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9044688,1,baja,False,True
historico_adjudicado,INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,800150861,Distrito Capital de Bogotá,CO1.REQ.6434591,SASI-0013-SG-2024 (Presentación de oferta),SUMINISTRO DE INSUMOS PARA LOS LABORATORIOS FORENSES Y ORGANISMOS DE INSPECCIÓN DEL INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES (Presentación de oferta),SUMINISTRO DE INSUMOS PARA LOS LABORATORIOS FORENSES Y ORGANISMOS DE INSPECCIÓN DEL INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,,1542066731,Selección abreviada subasta inversa,Si,Inverjimsa SAS,900230898,Distrito Capital de Bogotá,118318087.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6323904,,,False,False
historico_adjudicado,DIRECCION DE BIENESTAR DE LA POLICIA NACIONAL,830042321,Distrito Capital de Bogotá,CO1.REQ.4533114,PN DIBIE MIC 019 2023,RENOVACION LICENCIAMIENTO ADOBE CREATIVE CLOUD,RENOVACIÓN LICENCIAMIENTO ADOBE CREATIVE CLOUD PARA LA OFICINA DE COMUNICACIONES ESTRATÉGICAS DE LA DIRECCIÓN DE BIENESTAR SOCIAL Y FAMILIA,,34072581,Mínima cuantía,Si,Green Know,9004466481,Distrito Capital de Bogotá,23283000.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4450114,,,False,False
historico_adjudicado,(Secretaría Distrital de Integración Social),8999990619,Distrito Capital de Bogotá,CO1.REQ.510756,SDIS-LP-005-2018 (),OBJETO: PRESTACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO INCLUIDO EL SUMINISTRO DE REPUESTOS NUEVOS PARA LOS DIFERENTES EQUIPOS; MUEBLES; ENSERES DE PROPIEDAD DE LA SDIS ETC 13 GRUPS,"PRESTACIÓN DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO INCLUIDO EL SUMINISTRO DE REPUESTOS NUEVOS PARA LOS DIFERENTES EQUIPOS, MUEBLES, ENSERES DE PROPIEDAD DE LA SDIS Y AQUELLOS POR LOS QUE LLEGARE A SER LEGALMENTE RESPONSABLE, UBICADOS EN LAS DIFERENTES UNIDADES OPERATIVAS, ACORDE CON LOS GRUPOS SEÑALADOS: 13 GRUPOS",,0,Licitación pública,Si,SYSTEMNET INGENIERIA SAS.,830122370,Cundinamarca,156891930.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.493112,2,baja,False,True
