rango,id_del_proceso,entidad,departamento,objeto,modalidad,precio_base,razones,menciones_entidad,nivel_menciones,referencia_citada_en_prensa,url_secop,limite
32,CO1.REQ.4423663,GOBIERNO DEPARTAMENTAL,Tolima,PRESTACION DE SERVICIOS,Contratación directa,32000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,4,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4326132,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
33,CO1.REQ.1440311,SECRETARIA DE EDUCACION DEL DISTRITO,Distrito Capital de Bogotá,CATHERINE ALEXANDRA RODRIGUEZ URBINA,Contratación directa,31250000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1395550,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
34,CO1.REQ.4154112,(Secretaría Distrital de Integración Social),Distrito Capital de Bogotá,PRESTAR SERVICIOS PROFESIONALES PARA REALIZAR LA ATENCION DE NINAS Y NINOS DE PRIMERA INFANCIA EN JARDINES INFANTILES DI,Contratación directa,30210840,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4070423,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
35,CO1.REQ.325038,SECRETARIA DE EDUCACION DEL DISTRITO,Distrito Capital de Bogotá,REYES MURILLO LUIS MIGUEL,Contratación directa,29852160,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.315400,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
36,CO1.REQ.4032008,SECRETARÍA DISTRITAL DE MOVILIDAD,Distrito Capital de Bogotá,PRESTAR SERVICIOS DE APOYO A LA GESTIÓN PARA EL DESARROLLO DE ACTIVIDADES ASISTENCIALES Y ADMINISTRATIVAS EN EL MARCO DE,Contratación directa,29220000,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3939693,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
37,CO1.REQ.3960284,DEPARTAMENTO DEL META,Meta,Prestación de servicios profesionales especializados de asesoria juridica externa para la secretaria administrativa de l,Contratación directa,28800000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3866212,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
38,CO1.REQ.7834402,SECRETARÍA DISTRITAL DE MOVILIDAD,Distrito Capital de Bogotá,DANIEL STEVEN MAHECHA VARGAS,Contratación directa,27111000,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7748661,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
39,CO1.REQ.1163893,CENTRO NACIONAL DE MEMORIA  HISTORICA,Distrito Capital de Bogotá,RONYELIS GONZALEZ HERNANDEZ,Contratación directa,26918340,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1125588,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
40,CO1.REQ.7834512,SECRETARÍA DISTRITAL DE MOVILIDAD,Distrito Capital de Bogotá,JOHAN ANDRES SUAREZ BERMUDEZ,Contratación directa,26640000,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7730908,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
41,CO1.REQ.2016461,(Secretaría Distrital de Integración Social),Distrito Capital de Bogotá,PRESTAR  SERVICIOS  PROFESIONALES,Contratación directa,26072000,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2046841,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
42,CO1.REQ.5745609,(Secretaría Distrital de Integración Social),Distrito Capital de Bogotá,PRESTAR SERVICIOS DE APOYO A LA GESTION PARA APOYAR; ACOMPANAR Y REALIZAR LA ATENCION INTEGRAL A LA POBLACION HABITANTE ,Contratación directa,25939440,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5636606,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
43,CO1.REQ.10082050,AGENCIA DE DESARROLLO RURAL,Distrito Capital de Bogotá,Prestar los servicios de apoyo en el seguimiento y actualización del banco de proyectos y las  diferentes bases de datos,Contratación directa,25500000,entidad en prensa; contratación directa; 0 respuestas de proveedores,8,media,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9936940,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
44,CO1.REQ.1286743,DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA,Atlántico,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA EL DESARROLLO DE LAS ACTIVIDADES LOGISTICAS DE ATENCIÓN AL CIUDADANO,Contratación directa,25064000,entidad en prensa; contratación directa; 0 respuestas de proveedores,3,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1243797,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
45,CO1.REQ.1417218,MINISTERIO DEL INTERIOR,Distrito Capital de Bogotá,PRESTACIÓN DE SERVICIOS- WILLIAM RENAN RODRIGUEZ- ASUNTOS RELIGIOSOS,Contratación directa,24833334,entidad en prensa; contratación directa; 0 respuestas de proveedores,31,alta,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1371346,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
46,CO1.REQ.6034319,SECRETARIA DE EDUCACION DEL DISTRITO,Distrito Capital de Bogotá,SANDRA XIMENA SANCHEZ RINCON,Contratación directa,24052000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5992647,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
47,CO1.REQ.6085225,GOBERNACION DEL CHOCÓ.,No Definido,PRESTACION DE SERVICIOS,Contratación directa,24000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5973718,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
48,CO1.REQ.1695423,SUPERINTENDENCIA DE NOTARIADO Y REGISTRO,Distrito Capital de Bogotá,CONTRATACION DIRECTA 017 DE 2021,Contratación directa,23115434,entidad en prensa; contratación directa; 0 respuestas de proveedores,9,media,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1642752,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
